date,home_team,away_team,home_score,away_score,gameweek,home_xg,away_xg
2019-08-09,Liverpool,Norwich,4,1,1,2.09,0.79
2019-08-10,West Ham,Man City,0,5,1,1.12,2.98
2019-08-10,Bournemouth,Sheffield Utd,1,1,1,1.25,1.49
2019-08-10,Burnley,Southampton,3,0,1,0.85,1.02
2019-08-10,Crystal Palace,Everton,0,0,1,0.81,1.14
2019-08-10,Watford,Brighton,0,3,1,0.63,0.80
2019-08-10,Spurs,Aston Villa,3,1,1,2.40,0.60
2019-08-11,Leicester,Wolves,0,0,1,0.51,0.76
2019-08-11,Newcastle,Arsenal,0,1,1,0.36,1.06
2019-08-11,Man Utd,Chelsea,4,0,1,2.22,1.02
2019-08-17,Arsenal,Burnley,2,1,2,1.09,1.30
2019-08-17,Aston Villa,Bournemouth,1,2,2,1.54,1.52
2019-08-17,Brighton,West Ham,1,1,2,2.25,0.94
2019-08-17,Everton,Watford,1,0,2,0.78,1.10
2019-08-17,Norwich,Newcastle,3,1,2,1.96,0.86
2019-08-17,Southampton,Liverpool,1,2,2,2.00,1.42
2019-08-17,Man City,Spurs,2,2,2,2.99,0.07
2019-08-18,Sheffield Utd,Crystal Palace,1,0,2,1.73,0.23
2019-08-18,Chelsea,Leicester,1,1,2,1.15,0.89
2019-08-19,Wolves,Man Utd,1,1,2,0.29,1.07
2019-08-23,Aston Villa,Everton,2,0,3,0.80,1.17
2019-08-24,Norwich,Chelsea,2,3,3,1.01,1.77
2019-08-24,Brighton,Southampton,0,2,3,0.93,1.94
2019-08-24,Man Utd,Crystal Palace,1,2,3,2.09,0.63
2019-08-24,Sheffield Utd,Leicester,1,2,3,0.61,0.66
2019-08-24,Watford,West Ham,1,3,3,2.14,3.23
2019-08-24,Liverpool,Arsenal,3,1,3,2.61,0.92
2019-08-25,Bournemouth,Man City,1,3,3,1.77,2.92
2019-08-25,Spurs,Newcastle,0,1,3,1.18,0.48
2019-08-25,Wolves,Burnley,1,1,3,1.24,1.15
2019-08-31,Southampton,Man Utd,1,1,4,0.72,1.78
2019-08-31,Chelsea,Sheffield Utd,2,2,4,2.16,0.98
2019-08-31,Crystal Palace,Aston Villa,1,0,4,1.32,0.28
2019-08-31,Leicester,Bournemouth,3,1,4,2.09,0.52
2019-08-31,Man City,Brighton,4,0,4,2.16,0.80
2019-08-31,Newcastle,Watford,1,1,4,0.97,1.03
2019-08-31,West Ham,Norwich,2,0,4,2.06,1.09
2019-08-31,Burnley,Liverpool,0,3,4,0.58,1.12
2019-09-01,Everton,Wolves,3,2,4,1.39,1.87
2019-09-01,Arsenal,Spurs,2,2,4,1.80,1.83
2019-09-14,Liverpool,Newcastle,3,1,5,2.74,0.27
2019-09-14,Brighton,Burnley,1,1,5,1.58,0.32
2019-09-14,Man Utd,Leicester,1,0,5,1.03,0.43
2019-09-14,Sheffield Utd,Southampton,0,1,5,1.76,1.47
2019-09-14,Spurs,Crystal Palace,4,0,5,0.98,0.54
2019-09-14,Wolves,Chelsea,2,5,5,1.40,2.87
2019-09-14,Norwich,Man City,3,2,5,1.63,2.19
2019-09-15,Bournemouth,Everton,3,1,5,1.32,1.41
2019-09-15,Watford,Arsenal,2,2,5,2.65,0.94
2019-09-16,Aston Villa,West Ham,0,0,5,1.31,0.50
2019-09-20,Southampton,Bournemouth,1,3,6,2.04,1.21
2019-09-21,Leicester,Spurs,2,1,6,1.20,1.25
2019-09-21,Burnley,Norwich,2,0,6,2.24,0.75
2019-09-21,Everton,Sheffield Utd,0,2,6,1.18,0.47
2019-09-21,Man City,Watford,8,0,6,6.20,0.32
2019-09-21,Newcastle,Brighton,0,0,6,1.03,1.14
2019-09-22,Crystal Palace,Wolves,1,1,6,0.92,1.64
2019-09-22,West Ham,Man Utd,2,0,6,0.48,1.19
2019-09-22,Arsenal,Aston Villa,3,2,6,2.37,1.60
2019-09-22,Chelsea,Liverpool,1,2,6,1.15,0.96
2019-09-28,Sheffield Utd,Liverpool,0,1,7,1.09,1.84
2019-09-28,Aston Villa,Burnley,2,2,7,0.85,1.56
2019-09-28,Bournemouth,West Ham,2,2,7,2.17,1.21
2019-09-28,Chelsea,Brighton,2,0,7,3.99,0.58
2019-09-28,Crystal Palace,Norwich,2,0,7,1.69,0.67
